# this is V11.1:
#  same geometry (i.e. wafer type, vertices coordinates etc)
#  as we got from M. Noy at the start of our (PS, GF) work, i.e. here:
# https://gitlab.cern.ch/mnoy/hgcal_modmap/-/blob/59b99c3771802d268d31a3f0c9ff84ccbd044d83/geometries/v11.1/geomCMSSW1-50_corrected_withmult_F_rotations_subcassettes.txt
# differences w.r.t it are organisation of numbers and extra columns:
# - vertices coordinates are always 2x12, to have fixed format
# - U,V added, as computed by MB_engine.py
# - cassette and sub-cassette index are now 2 separate columns (they were a single one, with two comma-separated-nums)
# - columns added: hash to identify each sensor,
#
plane itype x0 y0 irot nvertices vx_0 vy_0 vx_1 vy_1 vx_2 vy_2 vx_3 vy_3 vx_4 vy_4 vx_5 vy_5 vx_6 vy_6 icassette_0 icassette_1 rate_d rate_t aa bb links_d links_t u v hash MB isEngine nROCs power mrot phi
1 FI 502.3 0.0 0 6 502.3 -96.7 586.0 -48.3 586.0 48.3 502.3 96.7 418.6 48.3 418.6 -48.3 502.3 -96.7 0 0 179.76 9.84 3.44 5.66 4 6 3 0 103000 -1 False 6 7.200000000000001 0 0.0
1 FI 669.8 0.0 0 6 669.8 -96.7 753.5 -48.3 753.5 48.3 669.8 96.7 586.0 48.3 586.0 -48.3 669.8 -96.7 0 0 94.5 5.39 2.06 4.09 3 5 4 0 104000 -1 False 6 7.200000000000001 0 0.0
1 FM 837.2 0.0 0 6 837.2 -96.7 920.9 -48.3 920.9 48.3 837.2 96.7 753.5 48.3 753.5 -48.3 837.2 -96.7 0 0 45.17 3.42 0.99 2.83 2 3 5 0 105000 -1 False 3 3.6000000000000005 0 0.0
1 FM 1004.6 0.0 0 6 1004.6 -96.7 1088.4 -48.3 1088.4 48.3 1004.6 96.7 920.9 48.3 920.9 -48.3 1004.6 -96.7 0 0 24.59 2.4 0.66 2.18 1 3 6 0 106000 -1 False 3 3.6000000000000005 0 0.0
1 FM 1172.1 0.0 0 6 1172.1 -96.7 1255.8 -48.3 1255.8 48.3 1172.1 96.7 1088.4 48.3 1088.4 -48.3 1172.1 -96.7 0 0 14.73 1.8 0.45 1.79 1 2 7 0 107000 -1 False 3 3.6000000000000005 0 0.0
1 FO 1339.5 0.0 0 6 1339.5 -96.7 1423.2 -48.3 1423.2 48.3 1339.5 96.7 1255.8 48.3 1255.8 -48.3 1339.5 -96.7 0 0 9.46 1.37 0.34 1.52 1 2 8 0 108000 -1 False 3 3.6000000000000005 0 0.0
1 FI 418.6 145.0 1 6 418.6 48.3 502.3 96.7 502.3 193.3 418.6 241.7 334.9 193.3 334.9 96.7 418.6 48.3 0 0 221.47 12.71 4.11 6.4 5 7 3 1 103010 -1 False 6 7.200000000000001 1 19.10571399681616
1 FI 586.0 145.0 0 6 586.0 48.3 669.8 96.7 669.8 193.3 586.0 241.7 502.3 193.3 502.3 96.7 586.0 48.3 0 0 120.72 6.71 2.49 4.48 3 5 4 1 104010 -1 False 6 7.200000000000001 0 13.89812614724088
1 FI 753.5 145.0 0 6 753.5 48.3 837.2 96.7 837.2 193.3 753.5 241.7 669.8 193.3 669.8 96.7 753.5 48.3 0 0 59.78 4.07 1.22 3.25 2 4 5 1 105010 -1 False 6 7.200000000000001 0 10.892577628002886
1 FM 920.9 145.0 0 6 920.9 48.3 1004.6 96.7 1004.6 193.3 920.9 241.7 837.2 193.3 837.2 96.7 920.9 48.3 0 0 32.59 2.77 0.79 2.41 1 3 6 1 106010 -1 False 3 3.6000000000000005 0 8.94802394844151
