plane itype x0 y0 irot nvertices vx_0 vy_0 vx_1 vy_1 vx_2 vy_2 vx_3 vy_3 vx_4 vy_4 vx_5 vy_5 vx_6 vy_6 icassette_0 icassette_1 rate_d rate_t aa bb links_d links_t u v hash MB isEngine nROCs power mrot phi
1 FI 502.30000 0.00000 0 6 502.30000 -96.70000 586.00000 -48.30000 586.00000 48.30000 502.30000 96.70000 418.60000 48.30000 418.60000 -48.30000 502.30000 -96.70000 0 0 179.76000 9.84000 3.44000 5.66000 4 6 3 0 103000 0 False 6 7.20000 0 0.00000
1 FI 669.80000 0.00000 0 6 669.80000 -96.70000 753.50000 -48.30000 753.50000 48.30000 669.80000 96.70000 586.00000 48.30000 586.00000 -48.30000 669.80000 -96.70000 0 0 94.50000 5.39000 2.06000 4.09000 3 5 4 0 104000 0 True 6 7.20000 0 0.00000
1 FM 837.20000 0.00000 0 6 837.20000 -96.70000 920.90000 -48.30000 920.90000 48.30000 837.20000 96.70000 753.50000 48.30000 753.50000 -48.30000 837.20000 -96.70000 0 0 45.17000 3.42000 0.99000 2.83000 2 3 5 0 105000 1 False 3 3.60000 0 0.00000
1 FM 1004.60000 0.00000 0 6 1004.60000 -96.70000 1088.40000 -48.30000 1088.40000 48.30000 1004.60000 96.70000 920.90000 48.30000 920.90000 -48.30000 1004.60000 -96.70000 0 0 24.59000 2.40000 0.66000 2.18000 1 3 6 0 106000 1 True 3 3.60000 0 0.00000
1 FM 1172.10000 0.00000 0 6 1172.10000 -96.70000 1255.80000 -48.30000 1255.80000 48.30000 1172.10000 96.70000 1088.40000 48.30000 1088.40000 -48.30000 1172.10000 -96.70000 0 0 14.73000 1.80000 0.45000 1.79000 1 2 7 0 107000 1 False 3 3.60000 0 0.00000
1 FO 1339.50000 0.00000 0 6 1339.50000 -96.70000 1423.20000 -48.30000 1423.20000 48.30000 1339.50000 96.70000 1255.80000 48.30000 1255.80000 -48.30000 1339.50000 -96.70000 0 0 9.46000 1.37000 0.34000 1.52000 1 2 8 0 108000 1 False 3 3.60000 0 0.00000
1 FI 418.60000 145.00000 1 6 418.60000 48.30000 502.30000 96.70000 502.30000 193.30000 418.60000 241.70000 334.90000 193.30000 334.90000 96.70000 418.60000 48.30000 0 0 221.47000 12.71000 4.11000 6.40000 5 7 3 1 103010 4 False 6 7.20000 1 19.10571
1 FI 586.00000 145.00000 0 6 586.00000 48.30000 669.80000 96.70000 669.80000 193.30000 586.00000 241.70000 502.30000 193.30000 502.30000 96.70000 586.00000 48.30000 0 0 120.72000 6.71000 2.49000 4.48000 3 5 4 1 104010 2 False 6 7.20000 0 13.89813
1 FI 753.50000 145.00000 0 6 753.50000 48.30000 837.20000 96.70000 837.20000 193.30000 753.50000 241.70000 669.80000 193.30000 669.80000 96.70000 753.50000 48.30000 0 0 59.78000 4.07000 1.22000 3.25000 2 4 5 1 105010 2 True 6 7.20000 0 10.89258
1 FM 920.90000 145.00000 0 6 920.90000 48.30000 1004.60000 96.70000 1004.60000 193.30000 920.90000 241.70000 837.20000 193.30000 837.20000 96.70000 920.90000 48.30000 0 0 32.59000 2.77000 0.79000 2.41000 1 3 6 1 106010 3 False 3 3.60000 0 8.94802
