plane u v itype x0 y0 irot nvertices vx_0 vy_0 vx_1 vy_1 vx_2 vy_2 vx_3 vy_3 vx_4 vy_4 vx_5 vy_5 vx_6 vy_6 icassette_0 icassette_1 trigRate trigLinks dataRate_ld dataLinks_ld dataRate_hd dataLinks_hd
1 3 0 FI 502.30000 0.00000 0 6 502.30000 -96.70000 586.00000 -48.30000 586.00000 48.30000 502.30000 96.70000 418.60000 48.30000 418.60000 -48.30000 502.30000 -96.70000 0 0 5.58000 6.00000 2.66000 3.00000 3.02200 3.00000
1 4 0 FI 669.80000 0.00000 0 6 669.80000 -96.70000 753.50000 -48.30000 753.50000 48.30000 669.80000 96.70000 586.00000 48.30000 586.00000 -48.30000 669.80000 -96.70000 0 0 3.85500 4.00000 1.89900 2.00000 2.01500 2.00000
1 5 0 FM 837.20000 0.00000 0 6 837.20000 -96.70000 920.90000 -48.30000 920.90000 48.30000 837.20000 96.70000 753.50000 48.30000 753.50000 -48.30000 837.20000 -96.70000 0 0 2.97500 4.00000 1.16500 1.00000 1.14700 1.00000
1 6 0 FM 1004.60000 0.00000 0 6 1004.60000 -96.70000 1088.40000 -48.30000 1088.40000 48.30000 1004.60000 96.70000 920.90000 48.30000 920.90000 -48.30000 1004.60000 -96.70000 0 0 2.24800 3.00000 0.88400 1.00000 0.86000 1.00000
1 7 0 FM 1172.10000 0.00000 0 6 1172.10000 -96.70000 1255.80000 -48.30000 1255.80000 48.30000 1172.10000 96.70000 1088.40000 48.30000 1088.40000 -48.30000 1172.10000 -96.70000 0 0 1.83800 2.00000 0.73600 1.00000 0.71900 1.00000
1 8 0 FO 1339.50000 0.00000 0 6 1339.50000 -96.70000 1423.20000 -48.30000 1423.20000 48.30000 1339.50000 96.70000 1255.80000 48.30000 1255.80000 -48.30000 1339.50000 -96.70000 0 0 1.90200 2.00000 0.63900 1.00000 0.63900 1.00000
1 3 1 FI 418.60000 145.00000 1 6 418.60000 48.30000 502.30000 96.70000 502.30000 193.30000 418.60000 241.70000 334.90000 193.30000 334.90000 96.70000 418.60000 48.30000 0 0 6.53400 7.00000 3.08800 3.00000 3.66500 3.00000
1 4 1 FI 586.00000 145.00000 0 6 586.00000 48.30000 669.80000 96.70000 669.80000 193.30000 586.00000 241.70000 502.30000 193.30000 502.30000 96.70000 586.00000 48.30000 0 0 4.45400 5.00000 2.18700 2.00000 2.31900 2.00000
1 5 1 FI 753.50000 145.00000 0 6 753.50000 48.30000 837.20000 96.70000 837.20000 193.30000 753.50000 241.70000 669.80000 193.30000 669.80000 96.70000 753.50000 48.30000 0 0 3.32200 4.00000 1.72000 2.00000 1.70800 2.00000
1 6 1 FM 920.90000 145.00000 0 6 920.90000 48.30000 1004.60000 96.70000 1004.60000 193.30000 920.90000 241.70000 837.20000 193.30000 837.20000 96.70000 920.90000 48.30000 0 0 2.56800 3.00000 0.98800 1.00000 0.97200 1.00000
