plane u v itype x0 y0 irot nvertices vx_0 vy_0 vx_1 vy_1 vx_2 vy_2 vx_3 vy_3 vx_4 vy_4 vx_5 vy_5 vx_6 vy_6 icassette trigRate trigLinks dataRate_ld dataLinks_ld dataRate_hd dataLinks_hd MB wagon isEngine nROCs power mrot phi HDorLD hash hash_hdld engine_trig_fibres engine_data_fibres engine_ctrl_fibres dataPp0 trigPp0 dataPp0_type trigPp0_type dataPp1 trigPp1 dataPp1_type trigPp1_type dataPp2 DAQ
1 1 2 dIeL -0.002 295.096 0 5 -83.770 343.506 -83.830 321.602 83.817 321.575 83.790 343.529 0.046 391.879 -83.770 343.506 0.000 0.000 2 4.570 5.000 1.757 2.000 1.757 2.000 101 0 False 3 3.600 0 90.000 1 101020.000 101021 4 2 2 PP0(CE-)L1/C02_FO_1_2 PP0(CE-)L1/C02_FO_2_3 A B PP1(CE-)11_FO_1_2 PP1(CE-)9_FO_2_3 Ap Ap PPFO(CE-)X5_18 DAQ_2_6
1 1 3 FI -83.822 440.277 5 6 0.046 391.879 -0.057 488.702 -83.888 537.102 -167.617 488.679 -167.688 391.956 -83.857 343.556 0.046 391.879 2 7.044 8.000 2.841 3.000 3.392 4.000 102 0 False 6 7.200 0 100.779 1 101030.000 101031 3 2 2 PP0(CE-)L1/C02_FO_1_3 PP0(CE-)L1/C02_FO_2_2 C A PP1(CE-)11_FO_1_3 PP1(CE-)9_FO_2_2 Ap Ap PPFO(CE-)X5_10 DAQ_2_1
1 1 4 FI -167.633 585.452 5 6 -83.888 537.102 -83.817 633.825 -167.648 682.225 -251.464 633.852 -251.448 537.079 -167.617 488.679 -83.888 537.102 2 4.799 5.000 1.971 3.000 2.087 3.000 102 0 False 6 7.200 0 105.978 1 101040.000 101041 3 2 2 PP0(CE-)L1/C02_FO_1_3 PP0(CE-)L1/C02_FO_2_2 C A PP1(CE-)11_FO_1_3 PP1(CE-)9_FO_2_2 Ap Ap PPFO(CE-)X5_10 DAQ_2_1
1 1 5 FI -251.461 730.637 5 6 -167.648 682.225 -167.664 778.998 -251.495 827.398 -335.311 779.025 -335.295 682.252 -251.464 633.852 -167.648 682.225 2 3.419 4.000 1.479 2.000 1.507 2.000 102 0 True 6 7.200 0 108.992 1 101050.000 101051 3 2 2 PP0(CE-)L1/C02_FO_1_3 PP0(CE-)L1/C02_FO_2_2 C A PP1(CE-)11_FO_1_3 PP1(CE-)9_FO_2_2 Ap Ap PPFO(CE-)X5_10 DAQ_2_1
1 1 6 FO -335.280 875.817 2 6 -251.495 827.398 -251.461 924.257 -335.292 972.657 -419.071 924.148 -419.142 827.425 -335.311 779.025 -251.495 827.398 2 2.902 3.000 0.957 1.000 0.911 1.000 104 1 False 3 3.600 0 110.948 0 101060.000 101060 2 1 1 PP0(CE-)L1/C02_FO_1_1 PP0(CE-)L1/C02_FO_2_1 A A PP1(CE-)11_FO_1_1 PP1(CE-)9_FO_2_1 Ap Ap PPFO(CE-)X5_12 DAQ_2_2
1 1 7 FO -419.100 1020.998 5 6 -335.292 972.657 -335.221 1069.380 -419.139 1117.830 -502.868 1069.407 -502.989 972.598 -419.071 924.148 -335.292 972.657 2 2.327 3.000 0.757 1.000 0.720 1.000 104 1 False 3 3.600 0 112.317 0 101070.000 101070 2 1 1 PP0(CE-)L1/C02_FO_1_1 PP0(CE-)L1/C02_FO_2_1 A A PP1(CE-)11_FO_1_1 PP1(CE-)9_FO_2_1 Ap Ap PPFO(CE-)X5_12 DAQ_2_2
1 1 8 FO -502.919 1166.178 5 6 -419.139 1117.830 -419.068 1214.553 -502.899 1262.953 -586.715 1214.580 -586.699 1117.807 -502.868 1069.407 -419.139 1117.830 2 1.766 2.000 0.590 1.000 0.569 1.000 104 0 True 3 3.600 0 113.328 0 101080.000 101080 2 1 1 PP0(CE-)L1/C02_FO_1_1 PP0(CE-)L1/C02_FO_2_1 A A PP1(CE-)11_FO_1_1 PP1(CE-)9_FO_2_1 Ap Ap PPFO(CE-)X5_12 DAQ_2_2
1 1 9 aOeT -586.739 1311.358 5 4 -502.915 1359.726 -670.546 1262.980 -586.715 1214.580 -502.899 1262.953 -502.915 1359.726 0.000 0.000 0.000 0.000 2 1.292 2.000 0.376 1.000 0.376 1.000 104 0 False 3 3.600 0 114.105 0 101090.000 101090 2 1 1 PP0(CE-)L1/C02_FO_1_1 PP0(CE-)L1/C02_FO_2_1 A A PP1(CE-)11_FO_1_1 PP1(CE-)9_FO_2_1 Ap Ap PPFO(CE-)X5_12 DAQ_2_2
1 2 0 gIe 339.380 2.370 3 6 339.400 99.200 320.400 88.200 320.400 -83.500 339.400 -94.400 423.200 -46.000 423.200 50.800 339.400 99.200 1 6.631 7.000 3.184 4.000 3.184 4.000 0 0 False 6 7.200 0 0.400 1 102000.000 102001 3 2 2 PP0(CE-)L1/C01_FO_1_2 PP0(CE-)L1/C01_FO_2_2 A A PP1(CE-)5_FO_1_2 PP1(CE-)3_FO_2_2 Ap Ap PPFO(CE-)X5_9 DAQ_1_6
1 2 1 dIeL 255.560 147.550 5 5 255.600 244.300 236.600 233.400 320.400 88.200 339.400 99.200 339.400 195.900 255.600 244.300 0.000 0.000 1 4.570 5.000 1.757 2.000 1.757 2.000 1 0 False 3 3.600 0 30.000 1 102010.000 102011 4 2 2 PP0(CE-)L1/C01_FO_1_2 PP0(CE-)L1/C01_FO_2_3 A B PP1(CE-)5_FO_1_2 PP1(CE-)3_FO_2_3 Ap Ap PPFO(CE-)X5_9 DAQ_1_6
1 2 2 gIe 167.638 295.097 4 6 83.790 343.529 83.817 321.575 232.513 235.725 251.453 246.729 251.437 343.502 167.606 391.902 83.790 343.529 2 6.631 7.000 3.184 4.000 3.184 4.000 100 0 False 6 7.200 0 60.400 1 102020.000 102021 3 2 2 PP0(CE-)L1/C02_FO_1_2 PP0(CE-)L1/C02_FO_2_2 A A PP1(CE-)11_FO_1_2 PP1(CE-)9_FO_2_2 Ap Ap PPFO(CE-)X5_18 DAQ_2_6
1 2 3 FI 83.818 440.277 4 6 167.693 391.852 167.590 488.675 83.846 537.025 -0.057 488.702 0.046 391.879 83.790 343.529 167.693 391.852 2 7.039 8.000 2.840 3.000 3.391 4.000 101 0 False 6 7.200 0 79.221 1 102030.000 102031 4 2 2 PP0(CE-)L1/C02_FO_1_2 PP0(CE-)L1/C02_FO_2_3 A B PP1(CE-)11_FO_1_2 PP1(CE-)9_FO_2_3 Ap Ap PPFO(CE-)X5_18 DAQ_2_6
1 2 4 FI -0.002 585.457 4 6 83.846 537.025 83.743 633.848 -0.088 682.248 -83.817 633.825 -83.888 537.102 -0.057 488.702 83.846 537.025 2 5.070 6.000 2.068 3.000 2.210 3.000 103 0 False 6 7.200 0 90.000 1 102040.000 102041 2 1 1 PP0(CE-)L1/C02_FO_1_1 PP0(CE-)L1/C02_FO_2_1 A A PP1(CE-)11_FO_1_1 PP1(CE-)9_FO_2_1 Ap Ap PPFO(CE-)X5_12 DAQ_2_2
1 2 5 FI -83.813 730.632 4 6 -0.088 682.248 0.033 779.057 -83.798 827.457 -167.664 778.998 -167.648 682.225 -83.817 633.825 -0.088 682.248 2 3.661 4.000 1.568 2.000 1.605 2.000 103 0 False 6 7.200 0 96.544 1 102050.000 102051 2 1 1 PP0(CE-)L1/C02_FO_1_1 PP0(CE-)L1/C02_FO_2_1 A A PP1(CE-)11_FO_1_1 PP1(CE-)9_FO_2_1 Ap Ap PPFO(CE-)X5_12 DAQ_2_2
1 2 6 FM -167.641 875.818 5 6 -83.798 827.457 -83.814 924.230 -167.645 972.630 -251.461 924.257 -251.495 827.398 -167.664 778.998 -83.798 827.457 2 2.903 3.000 1.008 2.000 0.983 1.000 105 1 False 3 3.600 0 100.836 0 102060.000 102060 2 1 1 PP0(CE-)L1/C02_FO_1_1 PP0(CE-)L1/C02_FO_2_1 A A PP1(CE-)11_FO_1_1 PP1(CE-)9_FO_2_1 Ap Ap PPFO(CE-)X5_12 DAQ_2_2
1 2 7 FO -251.460 1020.998 5 6 -167.645 972.630 -167.661 1069.403 -251.492 1117.803 -335.221 1069.380 -335.292 972.657 -251.461 924.257 -167.645 972.630 2 2.412 3.000 0.802 1.000 0.763 1.000 105 1 False 3 3.600 0 103.836 0 102070.000 102070 2 1 1 PP0(CE-)L1/C02_FO_1_1 PP0(CE-)L1/C02_FO_2_1 A A PP1(CE-)11_FO_1_1 PP1(CE-)9_FO_2_1 Ap Ap PPFO(CE-)X5_12 DAQ_2_2
1 2 8 FO -335.280 1166.178 5 6 -251.492 1117.803 -251.421 1214.526 -335.339 1262.976 -419.068 1214.553 -419.139 1117.830 -335.221 1069.380 -251.492 1117.803 2 2.144 3.000 0.647 1.000 0.620 1.000 105 0 True 3 3.600 0 106.040 0 102080.000 102080 2 1 1 PP0(CE-)L1/C02_FO_1_1 PP0(CE-)L1/C02_FO_2_1 A A PP1(CE-)11_FO_1_1 PP1(CE-)9_FO_2_1 Ap Ap PPFO(CE-)X5_12 DAQ_2_2
1 2 9 FOe -419.099 1311.358 5 6 -335.339 1262.976 -335.268 1359.699 -419.099 1408.099 -502.915 1359.726 -502.899 1262.953 -419.068 1214.553 -335.339 1262.976 2 1.545 2.000 0.589 1.000 0.589 1.000 105 0 False 3 3.600 0 107.723 0 102090.000 102090 2 1 1 PP0(CE-)L1/C02_FO_1_1 PP0(CE-)L1/C02_FO_2_1 A A PP1(CE-)11_FO_1_1 PP1(CE-)9_FO_2_1 Ap Ap PPFO(CE-)X5_12 DAQ_2_2
1 3 0 FI 507.020 2.370 3 6 507.000 -94.400 590.800 -46.000 590.800 50.700 507.000 99.200 423.200 50.700 423.200 -46.000 507.000 -94.400 1 5.997 7.000 2.442 3.000 2.764 3.000 0 0 False 6 7.200 0 0.268 1 103000.000 103001 3 2 2 PP0(CE-)L1/C01_FO_1_2 PP0(CE-)L1/C01_FO_2_2 A A PP1(CE-)5_FO_1_2 PP1(CE-)3_FO_2_2 Ap Ap PPFO(CE-)X5_9 DAQ_1_6
1 3 1 FI 423.200 147.550 3 6 423.200 50.700 507.000 99.200 507.000 195.900 423.200 244.400 339.400 195.900 339.400 99.200 423.200 50.700 1 7.039 8.000 2.840 3.000 3.391 4.000 1 0 False 6 7.200 0 19.221 1 103010.000 103011 4 2 2 PP0(CE-)L1/C01_FO_1_2 PP0(CE-)L1/C01_FO_2_3 A B PP1(CE-)5_FO_1_2 PP1(CE-)3_FO_2_3 Ap Ap PPFO(CE-)X5_9 DAQ_1_6
1 3 2 FI 339.380 292.730 4 6 339.400 195.900 423.200 244.400 423.200 341.200 339.400 389.500 255.600 341.200 255.600 244.400 339.400 195.900 1 7.044 8.000 2.841 3.000 3.392 4.000 2 0 False 6 7.200 0 40.779 1 103020.000 103021 3 2 2 PP0(CE-)L1/C01_FO_1_3 PP0(CE-)L1/C01_FO_2_2 C A PP1(CE-)5_FO_1_3 PP1(CE-)3_FO_2_2 Ap Ap PPFO(CE-)X5_1 DAQ_1_1
